Timestamp,ax,ay,az,gx,gy,gz
0,0,0,0,0,0,0
28-01-2022 01:49:12.936698,5,5,5,5,5,5
28-01-2022 01:49:13.453540,5,5,5,5,5,5
28-01-2022 01:49:13.963409,5,5,5,5,5,5
28-01-2022 01:49:14.467861,5,5,5,5,5,5
28-01-2022 01:49:14.987031,5,5,5,5,5,5
28-01-2022 02:00:04.061004,5,5,5,5,5,5
28-01-2022 02:00:04.577134,5,5,5,5,5,5
28-01-2022 02:00:05.087775,5,5,5,5,5,5
28-01-2022 02:00:05.593343,5,5,5,5,5,5
28-01-2022 02:00:06.102064,5,5,5,5,5,5
28-01-2022 02:00:06.627371,5,5,5,5,5,5
28-01-2022 02:00:07.140508,5,5,5,5,5,5
28-01-2022 02:00:07.644785,5,5,5,5,5,5
28-01-2022 02:00:08.156714,5,5,5,5,5,5
28-01-2022 02:00:08.659961,5,5,5,5,5,5
28-01-2022 02:00:09.176194,5,5,5,5,5,5
28-01-2022 02:00:09.695203,5,5,5,5,5,5
28-01-2022 02:00:10.199701,5,5,5,5,5,5
28-01-2022 02:00:10.706757,5,5,5,5,5,5
28-01-2022 02:00:11.215831,5,5,5,5,5,5
28-01-2022 02:00:11.726385,5,5,5,5,5,5
28-01-2022 02:00:12.235266,5,5,5,5,5,5
28-01-2022 02:00:12.749143,5,5,5,5,5,5
28-01-2022 02:00:13.260640,5,5,5,5,5,5
28-01-2022 02:00:13.769653,5,5,5,5,5,5
28-01-2022 02:34:46.374417,5,5,5,5,5,5
28-01-2022 02:34:46.375935,5,5,5,5,5,5
28-01-2022 02:34:46.555314,5,5,5,5,5,5
28-01-2022 02:34:46.735948,5,5,5,5,5,5
28-01-2022 02:34:46.743961,5,5,5,5,5,5
28-01-2022 02:34:46.912696,5,5,5,5,5,5
28-01-2022 02:34:46.925104,5,5,5,5,5,5
28-01-2022 02:34:47.098342,5,5,5,5,5,5
28-01-2022 02:34:47.281537,5,5,5,5,5,5
28-01-2022 02:34:47.321549,5,5,5,5,5,5
28-01-2022 02:34:47.471215,5,5,5,5,5,5
28-01-2022 02:34:47.647109,5,5,5,5,5,5
28-01-2022 02:34:47.824864,5,5,5,5,5,5
28-01-2022 02:34:47.831254,5,5,5,5,5,5
28-01-2022 02:34:48.008952,5,5,5,5,5,5
28-01-2022 02:34:48.024995,5,5,5,5,5,5
28-01-2022 02:34:48.191752,5,5,5,5,5,5
28-01-2022 02:34:48.198448,5,5,5,5,5,5
28-01-2022 02:34:48.374704,5,5,5,5,5,5
28-01-2022 02:34:48.542469,5,5,5,5,5,5
28-01-2022 02:34:48.586365,5,5,5,5,5,5
28-01-2022 02:34:48.733629,5,5,5,5,5,5
28-01-2022 02:34:48.741878,5,5,5,5,5,5
28-01-2022 02:34:48.921871,5,5,5,5,5,5
28-01-2022 02:34:49.093367,5,5,5,5,5,5
28-01-2022 02:34:49.116384,5,5,5,5,5,5
28-01-2022 02:34:49.285385,5,5,5,5,5,5
28-01-2022 02:34:49.293428,5,5,5,5,5,5
28-01-2022 02:34:49.467929,5,5,5,5,5,5
28-01-2022 02:34:49.651974,5,5,5,5,5,5
28-01-2022 02:34:49.659970,5,5,5,5,5,5
28-01-2022 02:34:49.831205,5,5,5,5,5,5
28-01-2022 02:34:49.831205,5,5,5,5,5,5
28-01-2022 02:34:50.015061,5,5,5,5,5,5
28-01-2022 02:34:50.198162,5,5,5,5,5,5
28-01-2022 02:34:50.206165,5,5,5,5,5,5
28-01-2022 02:34:50.386554,5,5,5,5,5,5
28-01-2022 02:34:50.394571,5,5,5,5,5,5
28-01-2022 02:34:50.567061,5,5,5,5,5,5
28-01-2022 02:34:50.575069,5,5,5,5,5,5
28-01-2022 02:34:50.747586,5,5,5,5,5,5
28-01-2022 02:34:50.925532,5,5,5,5,5,5
28-01-2022 02:34:50.963286,5,5,5,5,5,5
28-01-2022 02:34:51.110230,5,5,5,5,5,5
28-01-2022 02:34:51.134983,5,5,5,5,5,5
28-01-2022 02:34:51.295009,5,5,5,5,5,5
28-01-2022 02:34:51.477449,5,5,5,5,5,5
28-01-2022 02:34:51.509428,5,5,5,5,5,5
28-01-2022 02:34:51.659506,5,5,5,5,5,5
28-01-2022 02:34:51.668559,5,5,5,5,5,5
28-01-2022 02:34:51.837433,5,5,5,5,5,5
28-01-2022 02:34:52.022562,5,5,5,5,5,5
28-01-2022 02:34:52.030567,5,5,5,5,5,5
28-01-2022 02:34:52.194190,5,5,5,5,5,5
28-01-2022 02:34:52.215993,5,5,5,5,5,5
28-01-2022 02:34:52.384969,5,5,5,5,5,5
28-01-2022 02:34:52.573299,5,5,5,5,5,5
28-01-2022 02:34:52.581003,5,5,5,5,5,5
28-01-2022 02:34:52.749003,5,5,5,5,5,5
28-01-2022 02:34:52.757001,5,5,5,5,5,5
28-01-2022 02:34:52.933019,5,5,5,5,5,5
28-01-2022 02:34:52.941006,5,5,5,5,5,5
28-01-2022 02:34:53.113374,5,5,5,5,5,5
28-01-2022 02:34:53.297346,5,5,5,5,5,5
28-01-2022 02:34:53.305356,5,5,5,5,5,5
28-01-2022 02:34:53.485587,5,5,5,5,5,5
28-01-2022 02:34:53.501587,5,5,5,5,5,5
28-01-2022 02:34:53.663902,5,5,5,5,5,5
28-01-2022 02:34:53.671884,5,5,5,5,5,5
28-01-2022 02:34:53.847196,5,5,5,5,5,5
28-01-2022 02:34:53.855182,5,5,5,5,5,5
28-01-2022 02:34:54.031922,5,5,5,5,5,5
28-01-2022 02:34:54.214221,5,5,5,5,5,5
28-01-2022 02:34:54.222218,5,5,5,5,5,5
28-01-2022 02:34:54.391507,5,5,5,5,5,5
28-01-2022 02:34:54.399485,5,5,5,5,5,5
28-01-2022 02:34:54.580869,5,5,5,5,5,5
28-01-2022 02:34:54.588873,5,5,5,5,5,5
28-01-2022 02:34:54.767921,5,5,5,5,5,5
28-01-2022 02:34:54.938242,5,5,5,5,5,5
28-01-2022 02:34:54.949456,5,5,5,5,5,5
28-01-2022 02:34:55.129750,5,5,5,5,5,5
28-01-2022 02:34:55.139589,5,5,5,5,5,5
28-01-2022 02:34:55.307395,5,5,5,5,5,5
28-01-2022 02:34:55.495520,5,5,5,5,5,5
28-01-2022 02:34:55.660931,5,5,5,5,5,5
28-01-2022 02:34:55.676949,5,5,5,5,5,5
28-01-2022 02:34:55.851322,5,5,5,5,5,5
28-01-2022 02:34:56.030355,5,5,5,5,5,5
28-01-2022 02:34:56.062580,5,5,5,5,5,5
28-01-2022 02:34:56.217985,5,5,5,5,5,5
28-01-2022 02:34:56.237903,5,5,5,5,5,5
28-01-2022 02:34:56.392571,5,5,5,5,5,5
28-01-2022 02:34:56.587114,5,5,5,5,5,5
28-01-2022 02:34:56.595116,5,5,5,5,5,5
28-01-2022 02:34:56.764984,5,5,5,5,5,5
28-01-2022 02:34:56.779061,5,5,5,5,5,5
28-01-2022 02:34:56.949082,5,5,5,5,5,5
28-01-2022 02:34:57.141115,5,5,5,5,5,5
28-01-2022 02:34:57.149140,5,5,5,5,5,5
28-01-2022 02:34:57.317514,5,5,5,5,5,5
28-01-2022 02:34:57.325518,5,5,5,5,5,5
28-01-2022 02:34:57.503340,5,5,5,5,5,5
28-01-2022 02:34:57.511338,5,5,5,5,5,5
28-01-2022 02:34:57.686140,5,5,5,5,5,5
28-01-2022 02:34:57.870580,5,5,5,5,5,5
28-01-2022 02:34:57.886585,5,5,5,5,5,5
28-01-2022 02:34:58.051862,5,5,5,5,5,5
28-01-2022 02:34:58.059857,5,5,5,5,5,5
28-01-2022 02:34:58.237987,5,5,5,5,5,5
28-01-2022 02:34:58.410891,5,5,5,5,5,5
28-01-2022 02:34:58.418887,5,5,5,5,5,5
28-01-2022 02:34:58.595483,5,5,5,5,5,5
28-01-2022 02:34:58.603458,5,5,5,5,5,5
28-01-2022 02:34:58.779482,5,5,5,5,5,5
